127.0.0.1 - - [25/Oct/2014:16:42:21 +0530] "GET /minorProjectWithInder7thSem2/ HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:21 +0530] "GET /minorProjectWithInder7thSem2/css/a.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:21 +0530] "GET /minorProjectWithInder7thSem2/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:21 +0530] "GET /minorProjectWithInder7thSem2/css/test.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:21 +0530] "GET /minorProjectWithInder7thSem2/ HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:21 +0530] "GET /minorProjectWithInder7thSem2/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:21 +0530] "GET /minorProjectWithInder7thSem2/css/a.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:21 +0530] "GET /minorProjectWithInder7thSem2/css/test.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:21 +0530] "GET /minorProjectWithInder7thSem2/ HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:21 +0530] "GET /minorProjectWithInder7thSem2/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:21 +0530] "GET /minorProjectWithInder7thSem2/css/a.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:21 +0530] "GET /minorProjectWithInder7thSem2/css/test.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:21 +0530] "GET /minorProjectWithInder7thSem2/ HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:22 +0530] "GET /minorProjectWithInder7thSem2/ HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:22 +0530] "GET /minorProjectWithInder7thSem2/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:22 +0530] "GET /minorProjectWithInder7thSem2/css/a.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:22 +0530] "GET /minorProjectWithInder7thSem2/css/test.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:22 +0530] "GET /minorProjectWithInder7thSem2/ HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:22 +0530] "GET /minorProjectWithInder7thSem2/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:22 +0530] "GET /minorProjectWithInder7thSem2/css/a.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:22 +0530] "GET /minorProjectWithInder7thSem2/css/test.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:22 +0530] "GET /minorProjectWithInder7thSem2/ HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:22 +0530] "GET /minorProjectWithInder7thSem2/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:22 +0530] "GET /minorProjectWithInder7thSem2/css/a.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:22 +0530] "GET /minorProjectWithInder7thSem2/css/test.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:22 +0530] "GET /minorProjectWithInder7thSem2/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:23 +0530] "GET /minorProjectWithInder7thSem2/ HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:23 +0530] "GET /minorProjectWithInder7thSem2/css/a.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:23 +0530] "GET /minorProjectWithInder7thSem2/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:23 +0530] "GET /minorProjectWithInder7thSem2/css/test.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:23 +0530] "GET /minorProjectWithInder7thSem2/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:24 +0530] "GET /minorProjectWithInder7thSem2/ HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:24 +0530] "GET /minorProjectWithInder7thSem2/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:24 +0530] "GET /minorProjectWithInder7thSem2/css/test.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:24 +0530] "GET /minorProjectWithInder7thSem2/css/a.css HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:24 +0530] "GET /minorProjectWithInder7thSem2/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [25/Oct/2014:16:42:25 +0530] "GET /minorProjectWithInder7thSem2/ HTTP/1.1" 304 -
